country,code_time,time,year,month,month_name,product,value,display_order,yeartodate,previousyeartodate,share
Italy,NOV2012,November 2012,2012,11,November,Solar,845.241,3,18637.002,9966.246,0.0383751587291101
France,MAY2020,May 2020,2020,5,May,Fossil fuels,2212.074992,27,45987.383923,22568.27478,0.0571799586913618
Japan,SEP2017,September 2017,2017,9,September,Others,5969.053,24,101055.227,92753.388,0.0745987397661504
Argentina,JAN2021,January 2021,2021,1,January,Wind,1047.159679,2,12810.478919,676.706644,0.075957667869108
Latvia,MAY2013,May 2013,2013,5,May,Total exports,513.719,16,3649.998,1764.456,0.7353886808442415
Finland,SEP2014,September 2014,2014,9,September,Final consumption,5955.034,20,80658.752,59815.282,1.2574767705984815
Mexico,APR2011,April 2011,2011,4,April,Electricity supplied,22794.101,17,279398.906,80553.037,0.9972602808049202
OECD Europe,JAN2020,January 2020,2020,1,January,Not specified,477.252839,13,5913.972002,479.176138,0.0014637126412198
Iceland,SEP2018,September 2018,2018,9,September,Other combustible non-renewables,0.0,12,0.0,,0.0
Latvia,MAR2012,March 2012,2012,3,March,Total imports,482.804,15,4935.0,805.201,0.9114272931324484
Greece,NOV2017,November 2017,2017,11,November,Natural gas,1423.39,10,15193.954,11559.613,0.3398300360388537
Mexico,APR2018,April 2018,2018,4,April,Coal,2277.357586,8,25800.191461,9932.862,0.0815837160023918
Australia,AUG2017,August 2017,2017,8,August,Oil,443.2751,9,5430.265535,3388.621496,0.0207880366491984
Brazil,MAR2021,March 2021,2021,3,March,Hydro,37273.074692,1,341102.693763,113583.483452,0.7078909580660253
Finland,JUN2018,June 2018,2018,6,June,Hydro,922.478072,1,13136.999999,6835.798,0.2212023953381435
Republic of Turkiye,JAN2015,January 2015,2015,1,January,Other combustible non-renewables,2.411,12,20.77,0.61,0.0001133077110338
Portugal,MAY2017,May 2017,2017,5,May,Wind,825.889,2,12112.465,6284.334,0.1786353281751398
Denmark,JUL2013,July 2013,2013,7,July,Hydro,0.657,1,13.0,9.529,0.0003522723982511
Ireland,DEC2016,December 2016,2016,12,December,Distribution losses,192.716,19,2134.782,2083.988,0.0731489111509995
Mexico,JUN2020,June 2020,2020,6,June,Electricity trade,3.818531,21,-57.437511,-280.699597,0.0001304394474658
Bulgaria,SEP2019,September 2019,2019,9,September,Natural gas,91.479996,10,1845.656703,1185.217874,0.030505116207738
Serbia,MAY2016,May 2016,2016,5,May,Wind,2.0,2,26.0,,0.00068706470157
New Zealand,JUN2013,June 2013,2013,6,June,Oil,0.434,9,3.397,0.785,0.0001180169134008
Switzerland,SEP2015,September 2015,2015,9,September,Electricity supplied,5011.616,17,65082.651,47775.452,1.0361896066271594
India,DEC2017,December 2017,2017,12,December,Fossil fuels,94720.507358,27,1125556.736641,1084855.47672,0.8146775158305117
Serbia,APR2021,April 2021,2021,4,April,Geothermal,0.0,4,0.0,0.0,0.0
Portugal,NOV2018,November 2018,2018,11,November,Total exports,751.867772,16,8324.536001,7608.712,0.1531940360864848
Romania,JAN2016,January 2016,2016,1,January,Electricity trade,672.134,21,5017.002,857.377,0.1165317831685714
Malta,AUG2016,August 2016,2016,8,August,Electricity supplied,235.033,17,2333.171,1535.026,2.449076775591864
Czech Republic,NOV2017,November 2017,2017,11,November,Total exports,2632.664,16,28108.936,22254.085,0.3504428416408516
Finland,MAY2020,May 2020,2020,5,May,Geothermal,0.0,4,0.0,0.0,0.0
United States,MAR2018,March 2018,2018,3,March,Other renewables aggregated,6856.466362,25,79800.76312,20162.645,0.0211706262501822
Canada,FEB2014,February 2014,2014,2,February,Hydro,35546.999,1,378785.999,74125.145,0.622705292742881
Japan,APR2017,April 2017,2017,4,April,Not specified,811.799,13,19046.059,6959.678,0.0106295086102268
Estonia,OCT2017,October 2017,2017,10,October,Fossil fuels,795.453,27,9558.855,7275.292,0.8438700437607745
Italy,AUG2016,August 2016,2016,8,August,Fossil fuels,12673.952,27,172103.661,106710.114,0.559764518179784
Sweden,NOV2020,November 2020,2020,11,November,Net electricity production,14067.611773,14,159888.650192,149670.164566,1.0
Korea,JUL2014,July 2014,2014,7,July,Other renewables,41.0,5,492.0,281.75,0.0008714149087358
Australia,JAN2013,January 2013,2013,1,January,Combustible renewables,246.108,11,3110.928,237.591,0.0102075596861532
Greece,MAR2015,March 2015,2015,3,March,Natural gas,384.806,10,8173.253,2014.902,0.1049011632725163
Malta,SEP2020,September 2020,2020,9,September,Renewables,18.710123,22,237.073837,167.846194,0.1060782145195594
Argentina,FEB2016,February 2016,2016,2,February,Used for pumped storage,-1.843,18,-24.59,-1.959,-0.000145121995392
Mexico,MAY2018,May 2018,2018,5,May,Total imports,298.983897,15,3672.999999,749.322,0.0096948296047842
United States,FEB2019,February 2019,2019,2,February,Natural gas,108461.769395,10,1550903.639262,200431.10238,0.3401059100426769
Ireland,JAN2018,January 2018,2018,1,January,Other combustible non-renewables,25.165105,12,290.784464,14.47,0.0087565593114793
Latvia,SEP2021,September 2021,2021,9,September,Low carbon,142.25161,26,3578.737605,2860.867343,0.450532756793908
Mexico,DEC2011,December 2011,2011,12,December,Wind,136.19,2,1634.28,1236.72,0.0062536892932605
Mexico,OCT2013,October 2013,2013,10,October,Geothermal,509.737,4,5761.999,4637.579,0.0211331794071721
Korea,MAR2021,March 2021,2021,3,March,Nuclear,13139.60014,6,150456.549001,37199.001728,0.2934894134313217
OECD Asia Oceania,AUG2014,August 2014,2014,8,August,Hydro,14866.41,1,131477.059,91147.828,0.0921411990906101
Greece,NOV2013,November 2013,2013,11,November,Total exports,196.023,16,3901.001,3813.916,0.0509555779283217
Finland,NOV2013,November 2013,2013,11,November,Solar,0.142,3,6.452,5.718,2.385469333531786e-05
Latvia,MAY2020,May 2020,2020,5,May,Used for pumped storage,0.0,18,0.0,0.0,0.0
OECD Americas,SEP2017,September 2017,2017,9,September,Total exports,7130.084,16,83263.48,61287.364,0.0166731340360277
Czech Republic,AUG2016,August 2016,2016,8,August,Distribution losses,282.983,19,4080.0,2589.979,0.0514718280308405
Slovak Republic,AUG2017,August 2017,2017,8,August,Net electricity production,2127.319,14,25692.005,16502.474,1.0
Luxembourg,JUL2018,July 2018,2018,7,July,Final consumption,538.324462,20,6459.723843,3764.007,4.880200262786344
United Kingdom,FEB2010,February 2010,2010,2,February,Natural gas,14162.622,10,169627.424,,0.4303241539740492
IEA Total,JUN2012,June 2012,2012,6,June,Not specified,2709.511,13,32502.114,16051.248,0.0032137098938224
France,OCT2018,October 2018,2018,10,October,Coal,1043.828702,8,9945.761303,10814.964,0.0244821837503523
United States,JUL2019,July 2019,2019,7,July,Used for pumped storage,3184.822912,18,26063.280858,15692.790196,0.00759689554509
Republic of Turkiye,JAN2013,January 2013,2013,1,January,Total imports,716.581,15,7428.999,291.564,0.0361939867293951
Portugal,AUG2015,August 2015,2015,8,August,Distribution losses,382.178,19,4894.0,3475.099,0.098303081060726
Spain,AUG2010,August 2010,2010,8,August,Electricity trade,763.169,21,8333.0,,0.0316547596328512
Norway,JUL2019,July 2019,2019,7,July,Electricity supplied,8634.917876,17,134709.750292,79991.838955,0.881956621399067
New Zealand,MAR2013,March 2013,2013,3,March,Total exports,0.0,16,0.0,0.0,0.0
Ireland,DEC2020,December 2020,2020,12,December,Net electricity production,3025.137836,14,31519.808792,30274.292081,1.0
Finland,APR2022,April 2022,2022,4,April,Oil,6.11937,9,92.402487,95.568552,0.0010384479572419
Chile,APR2013,April 2013,2013,4,April,Combustible renewables,427.91,11,5403.854,1115.456,0.0776857556628578
Croatia,DEC2016,December 2016,2016,12,December,Coal,258.292,8,2351.48,2089.063,0.2308575780028726
Argentina,NOV2019,November 2019,2019,11,November,Net electricity production,11174.520338,14,132462.31304,128136.837838,1.0
Republic of Turkiye,JUN2021,June 2021,2021,6,June,Other combustible non-renewables,1.31729,12,19.582507,7.157806,5.094568920139204e-05
Slovenia,MAR2017,March 2017,2017,3,March,Final consumption,1169.555,20,13622.63,3459.566,0.8776291994026849
Canada,OCT2016,October 2016,2016,10,October,Net electricity production,50136.168,14,644436.994,527400.65,1.0
Estonia,SEP2020,September 2020,2020,9,September,Other renewables aggregated,80.316624,25,830.051176,908.152755,0.1685036009591816
Italy,OCT2017,October 2017,2017,10,October,Low carbon,7472.922,26,104076.818,92419.924,0.3251056060441996
Germany,MAR2010,March 2010,2010,3,March,Oil,670.619,9,8109.18,,0.0124157586133875
Serbia,MAR2022,March 2022,2022,3,March,Other renewables aggregated,21.116855,25,244.627946,54.000915,0.0067537499011401
Estonia,OCT2014,October 2014,2014,10,October,Oil,3.348,9,37.785,99.482,0.0033927641299303
Ireland,JUN2012,June 2012,2012,6,June,Total combustible fuels,1638.589,7,21464.357,10912.856,0.8299355182472066
OECD Americas,MAY2011,May 2011,2011,5,May,Geothermal,1866.687,4,21556.002,8915.723,0.0046047269050955
IEA Total,JUN2019,June 2019,2019,6,June,Wind,54662.87348,2,819802.82251,385801.666981,0.0647946719949444
Croatia,JUL2017,July 2017,2017,7,July,Wind,81.987,2,1198.401,589.745,0.1038291157675581
Finland,FEB2021,February 2021,2021,2,February,Low carbon,5133.2315,26,59864.582086,10580.145347,0.7792921761292858
Denmark,JAN2011,January 2011,2011,1,January,Electricity trade,644.221,21,-1319.999,534.89,0.1629326825680611
Austria,JUL2022,July 2022,2022,7,July,Fossil fuels,514.035356,27,13819.937303,7514.973091,0.1028863346264235
Italy,AUG2015,August 2015,2015,8,August,Oil,1050.379,9,12745.342,8607.439,0.0462139567707836
Republic of Turkiye,OCT2011,October 2011,2011,10,October,Other combustible non-renewables,1.525,12,18.773,10.789,8.576280134939473e-05
Mexico,DEC2019,December 2019,2019,12,December,Oil,3189.049073,9,43284.144611,44583.894904,0.1317321204081055
France,SEP2019,September 2019,2019,9,September,Coal,233.937389,8,5540.292403,7531.129005,0.0060967116417728
Netherlands,JAN2012,January 2012,2012,1,January,Renewables,1385.667,22,12182.565,1081.995,0.1378621554545495
New Zealand,SEP2014,September 2014,2014,9,September,Other combustible non-renewables,0.0,12,0.0,0.0,0.0
Netherlands,MAY2010,May 2010,2010,5,May,Combustible renewables,569.655,11,6774.434,,0.067982783017545
Croatia,JUN2018,June 2018,2018,6,June,Other renewables aggregated,47.241066,25,615.880251,231.517,0.0514373613818753
Poland,MAR2017,March 2017,2017,3,March,Not specified,5.144,13,61.728,15.999,0.0003917893324995
Czech Republic,APR2011,April 2011,2011,4,April,Total exports,2075.708,16,27501.0,8224.358,0.3285075807932137
OECD Total,JUN2022,June 2022,2022,6,June,Geothermal,4336.299834,4,54232.437452,26489.709168,0.0048030438816595
Netherlands,NOV2011,November 2011,2011,11,November,Renewables,869.573,22,12009.844,9994.011,0.0844503327568791
Korea,MAR2013,March 2013,2013,3,March,Others,1417.057,24,21855.173,5744.289,0.0323262259786964
Australia,DEC2018,December 2018,2018,12,December,Final consumption,20231.180495,20,237290.921139,234813.794346,0.9581186552906864
Estonia,OCT2012,October 2012,2012,10,October,Oil,4.528,9,50.731,31.679,0.0048138052450065
Estonia,MAR2022,March 2022,2022,3,March,Total combustible fuels,504.067052,7,5224.265671,1378.581086,0.8549611895012451
OECD Total,JUL2021,July 2021,2021,7,July,Nuclear,154741.033307,6,1818330.890758,1052784.940719,0.1606801316203317
Canada,AUG2020,August 2020,2020,8,August,Solar,489.20196,3,4237.599909,3113.951845,0.0097608280091687
OECD Europe,OCT2022,October 2022,2022,10,October,Net electricity production,271175.015016,14,3442805.229771,2881350.909589,1.0
Luxembourg,MAR2013,March 2013,2013,3,March,Wind,6.227,2,83.028,18.592,0.0176760293512355
OECD Asia Oceania,JAN2020,January 2020,2020,1,January,Non-renewables,142893.431995,23,1484943.559982,154525.205701,0.8566838082679117
Norway,NOV2016,November 2016,2016,11,November,Natural gas,220.557,10,2599.999,2363.742,0.0168162673523999
Finland,APR2022,April 2022,2022,4,April,Not specified,17.583333,13,210.999996,62.0,0.002983865371003
North Macedonia,NOV2021,November 2021,2021,11,November,Net electricity production,382.020006,14,5185.596477,4567.01651,1.0
Germany,SEP2013,September 2013,2013,9,September,Hydro,2171.575,1,28311.0,20672.521,0.0453899587041933
Denmark,NOV2018,November 2018,2018,11,November,Wind,1132.559065,2,13901.955,13086.188,0.4385338131187976
Switzerland,DEC2015,December 2015,2015,12,December,Total exports,1999.332,16,35067.999,34021.0,0.4148514999402414
Slovak Republic,NOV2017,November 2017,2017,11,November,Net electricity production,2323.592,14,25692.005,22680.509,1.0
Denmark,FEB2022,February 2022,2022,2,February,Renewables,3286.925048,22,27909.605478,4705.526344,0.8726219513699794
Poland,SEP2014,September 2014,2014,9,September,Combustible renewables,782.081,11,9055.488,5737.847,0.0665975724548269
United States,MAR2014,March 2014,2014,3,March,Total exports,1937.442,16,13297.999,2778.809,0.00578534108645
Poland,MAR2014,March 2014,2014,3,March,Others,137.016,24,1628.152,467.283,0.0110983175862277
IEA Total,MAR2020,March 2020,2020,3,March,Total exports,42025.269664,16,487148.198497,131075.606297,0.0499104468895307
Japan,JAN2019,January 2019,2019,1,January,Combustible renewables,1682.545664,11,23031.438758,2065.271571,0.0174078641484692
Greece,MAY2011,May 2011,2011,5,May,Solar,61.357,3,610.311,65.835,0.0150769524883225
Bulgaria,APR2017,April 2017,2017,4,April,Net electricity production,3169.092,14,41347.142,13787.86,1.0
Sweden,NOV2022,November 2022,2022,11,November,Distribution losses,908.441103,19,10932.323609,7050.777723,0.0638581945755909
United Kingdom,JAN2019,January 2019,2019,1,January,Wind,5629.565645,2,63795.165999,6710.218211,0.1800879888795953
Serbia,SEP2017,September 2017,2017,9,September,Renewables,597.028,22,9799.46,8840.123,0.2174420400278545
Serbia,MAY2015,May 2015,2015,5,May,Used for pumped storage,130.119,18,1089.999,,0.042926393798916
Iceland,JUL2019,July 2019,2019,7,July,Other renewables,0.0,5,0.0,0.0,0.0
Spain,DEC2021,December 2021,2021,12,December,Total combustible fuels,9113.599706,7,89723.784188,90126.000001,0.3809158867860123
Lithuania,OCT2011,October 2011,2011,10,October,Hydro,85.487,1,1039.001,1024.396,0.2183977640843271
OECD Europe,DEC2018,December 2018,2018,12,December,Electricity trade,-830.748923,21,-19930.414993,-552.765,-0.0026198149556301
Latvia,OCT2019,October 2019,2019,10,October,Total combustible fuels,325.545095,7,3695.446085,2879.840969,0.6593379606370624
North Macedonia,MAY2022,May 2022,2022,5,May,Electricity supplied,384.02857,17,5422.476851,2117.980301,1.0
Lithuania,APR2019,April 2019,2019,4,April,Final consumption,903.230576,20,11436.392967,3826.868587,3.065684000221596
Sweden,APR2016,April 2016,2016,4,April,Hydro,5549.449,1,61763.562,24658.774,0.4134416136403088
Malta,AUG2019,August 2019,2019,8,August,Nuclear,0.0,6,0.0,0.0,0.0
Italy,JAN2013,January 2013,2013,1,January,Oil,1459.584,9,14712.559,1689.269,0.0603898714533129
OECD Total,APR2013,April 2013,2013,4,April,Other renewables aggregated,22892.545,25,292453.648,94889.631,0.0285219791683697
Ireland,DEC2014,December 2014,2014,12,December,Low carbon,880.861,26,6640.248,5943.618,0.3555576455544042
Korea,JUN2015,June 2015,2015,6,June,Distribution losses,1415.718,19,17979.21,9118.67,0.0336433574736068
Serbia,MAY2016,May 2016,2016,5,May,Other combustible non-renewables,0.248,12,3.621,1.409,8.519602299468142e-05
OECD Asia Oceania,NOV2017,November 2017,2017,11,November,Hydro,10634.613261,1,134061.565373,126348.535194,0.0709166047936449
Belgium,MAR2013,March 2013,2013,3,March,Hydro,145.818,1,1691.999,431.803,0.0209294094243056
Netherlands,NOV2018,November 2018,2018,11,November,Total imports,2112.856382,15,26754.588999,20645.821,0.2126744192781772
Denmark,MAY2021,May 2021,2021,5,May,Natural gas,99.574766,10,1529.454771,530.313844,0.0444766093209921
OECD Total,AUG2018,August 2018,2018,8,August,Final consumption,908804.207396,20,10112452.351225,6593738.717168,0.9396027106466214
Luxembourg,JUL2020,July 2020,2020,7,July,Not specified,0.0,13,0.0,0.0,0.0
Austria,JUN2014,June 2014,2014,6,June,Non-renewables,488.014,23,10867.237,7444.503,0.0938233875384967
France,FEB2018,February 2018,2018,2,February,Net electricity production,54350.221813,14,557797.810057,109690.468,1.0
North Macedonia,JAN2019,January 2019,2019,1,January,Others,6.79622,24,56.252603,1.837697,0.0105830031956396
Brazil,APR2015,April 2015,2015,4,April,Others,2199.556,24,26959.792,,0.0480622701599811
India,SEP2022,September 2022,2022,9,September,Total combustible fuels,97375.167715,7,1263699.967528,966137.93373,0.699477784723205
OECD Americas,MAR2012,March 2012,2012,3,March,Total imports,5372.406,15,72362.002,17055.426,0.0136867753919818
Serbia,MAY2018,May 2018,2018,5,May,Not specified,0.0,13,0.0,,0.0
Republic of Turkiye,NOV2018,November 2018,2018,11,November,Low carbon,6983.753273,26,95446.855398,78268.257,0.303546635338766
Serbia,NOV2021,November 2021,2021,11,November,Total combustible fuels,2259.414068,7,22799.362748,22163.399442,0.7240219616764738
Luxembourg,NOV2016,November 2016,2016,11,November,Net electricity production,188.965,14,2167.385,2528.029,1.0
Croatia,FEB2015,February 2015,2015,2,February,Wind,70.296,2,792.001,,0.0587162216341913
Latvia,JUN2019,June 2019,2019,6,June,Final consumption,499.313216,20,6623.687471,3352.869198,1.2878699669662488
United Kingdom,DEC2019,December 2019,2019,12,December,Wind,7665.641403,2,63795.165999,56906.349001,0.2681458345618401
Lithuania,JUN2018,June 2018,2018,6,June,Oil,10.500863,9,112.097758,51.782,0.0505142184587914
Germany,JAN2014,January 2014,2014,1,January,Combustible renewables,3554.848,11,44753.498,3382.652,0.0626182244756587
Republic of Turkiye,OCT2020,October 2020,2020,10,October,Natural gas,8037.806819,10,66569.7131,41986.25912,0.3211094869300579
New Zealand,MAY2019,May 2019,2019,5,May,Electricity trade,0.0,21,0.0,0.0,0.0
Slovenia,MAY2014,May 2014,2014,5,May,Used for pumped storage,34.09,18,362.975,173.561,0.0230872275957723
Italy,MAR2018,March 2018,2018,3,March,Wind,2455.39837,2,17556.808001,5290.085,0.104543316276655
Estonia,SEP2014,September 2014,2014,9,September,Net electricity production,876.697,14,11013.001,8922.289,1.0
Republic of Turkiye,DEC2022,December 2022,2022,12,December,Not specified,98.563244,13,1411.377702,1404.992711,0.0038986666384214
OECD Total,APR2013,April 2013,2013,4,April,Total imports,35469.661,15,460535.263,156720.364,0.0441918944421049
Greece,MAY2017,May 2017,2017,5,May,Final consumption,4137.796,20,55614.428,21261.333,1.1580490194020558
OECD Total,DEC2011,December 2011,2011,12,December,Other combustible non-renewables,4177.283,12,44998.045,40351.006,0.004621342924507
Portugal,OCT2014,October 2014,2014,10,October,Total imports,703.73,15,7246.999,6660.042,0.1784652792430169
OECD Americas,JUN2011,June 2011,2011,6,June,Used for pumped storage,3052.331,18,29062.0,14647.009,0.0068322987108409
Lithuania,DEC2012,December 2012,2012,12,December,Total combustible fuels,324.653,7,3011.999,2685.001,0.6200152400304801
Czech Republic,OCT2021,October 2021,2021,10,October,Total imports,1700.159955,15,15152.97977,10819.320199,0.2305074520766133
Greece,MAY2020,May 2020,2020,5,May,Low carbon,1378.518259,26,17964.702884,6407.536587,0.474124836362417
Estonia,MAY2022,May 2022,2022,5,May,Non-renewables,329.850133,23,3708.050714,1271.882233,0.5659504087428265
India,AUG2022,August 2022,2022,8,August,Hydro,24765.648165,1,173429.65888,108092.812363,0.1740397474704886
Mexico,DEC2018,December 2018,2018,12,December,Used for pumped storage,0.0,18,0.0,,0.0
Greece,MAR2020,March 2020,2020,3,March,Wind,814.196319,2,9263.201778,2005.768582,0.2537201226774686
Netherlands,DEC2015,December 2015,2015,12,December,Geothermal,0.0,4,0.0,0.0,0.0
Brazil,NOV2015,November 2015,2015,11,November,Solar,9.157,3,58.652,,0.0001959904971684
Cyprus,JUN2015,June 2015,2015,6,June,Total exports,0.0,16,0.0,,0.0
Lithuania,NOV2012,November 2012,2012,11,November,Hydro,95.212,1,920.0,955.393,0.239976207039087
OECD Total,SEP2019,September 2019,2019,9,September,Geothermal,4048.948724,4,50159.546129,36452.987188,0.0046342823721164
Italy,JAN2011,January 2011,2011,1,January,Total exports,203.28,16,1786.999,238.304,0.0081052062792541
Korea,NOV2010,November 2010,2010,11,November,Distribution losses,1528.291,19,18034.237,,0.0381188012622702
Chile,JUL2010,July 2010,2010,7,July,Fossil fuels,3230.637,27,34232.823,,0.6227438660258232
United States,DEC2017,December 2017,2017,12,December,Used for pumped storage,2193.39,18,29246.639,29128.999,0.0062400182439005
Germany,SEP2021,September 2021,2021,9,September,Non-renewables,28175.573042,23,327805.99904,205395.931876,0.6267706409088883
France,OCT2017,October 2017,2017,10,October,Natural gas,3583.565,10,38207.892,23263.78,0.090354417884036
Canada,JUN2015,June 2015,2015,6,June,Net electricity production,47445.376,14,638493.999,327947.579,1.0
OECD Asia Oceania,MAR2017,March 2017,2017,3,March,Other combustible non-renewables,1673.131,12,18152.602,3151.464,0.0103264431289682
Netherlands,SEP2014,September 2014,2014,9,September,Renewables,619.357,22,11407.684,8505.671,0.0789748470473355
Ireland,JUL2018,July 2018,2018,7,July,Coal,314.088955,8,4090.418364,3576.777,0.1253210130734151
Republic of Turkiye,JAN2015,January 2015,2015,1,January,Total imports,791.678,15,7136.0,760.621,0.0372058158672152
Denmark,SEP2012,September 2012,2012,9,September,Hydro,1.09,1,17.0,12.425,0.0005110173464603
Brazil,DEC2017,December 2017,2017,12,December,Fossil fuels,8781.574,27,99586.348,90863.524,0.1803829101599409
United States,AUG2017,August 2017,2017,8,August,Other renewables aggregated,7083.109,25,80869.877,54040.019,0.0181872403530871
Netherlands,MAR2013,March 2013,2013,3,March,Electricity supplied,10003.336,17,115686.789,30798.652,1.117572423310104
Slovenia,OCT2021,October 2021,2021,10,October,Low carbon,820.406451,26,10999.66921,9858.748548,0.6770563689955792
Germany,FEB2013,February 2013,2013,2,February,Natural gas,8024.165,10,63754.241,17779.151,0.1535966733451643
Slovenia,OCT2014,October 2014,2014,10,October,Solar,18.263,3,256.819,200.059,0.0147972118400381
Croatia,SEP2021,September 2021,2021,9,September,Final consumption,0.0,20,0.0,11598.823504,0.0
Slovak Republic,OCT2017,October 2017,2017,10,October,Electricity trade,-396.855,21,-3027.999,-2255.328,-0.1956931770832049
Norway,MAY2010,May 2010,2010,5,May,Electricity trade,-1792.779,21,-7548.999,,-0.241734505847514
Australia,AUG2011,August 2011,2011,8,August,Non-renewables,17926.068,23,213905.512,144835.506,0.8897651829940638
Poland,MAY2011,May 2011,2011,5,May,Total exports,854.071,16,12022.002,3578.0,0.0719597995538526
Japan,SEP2018,September 2018,2018,9,September,Combustible renewables,2035.075439,11,24468.267842,14446.137,0.0244887238729427
Austria,MAY2017,May 2017,2017,5,May,Low carbon,5166.958,26,52460.169,20259.747,0.9082195149432064
United States,DEC2020,December 2020,2020,12,December,Fossil fuels,210636.261185,27,2454935.562848,2610859.56955,0.602947464256358
North Macedonia,AUG2015,August 2015,2015,8,August,Low carbon,109.085,26,2008.08,,0.3169021244948768
United States,JUL2018,July 2018,2018,7,July,Used for pumped storage,3275.72786,18,27407.493999,16841.954,0.0078579322570753
France,APR2014,April 2014,2014,4,April,Used for pumped storage,516.617,18,7956.527,2589.948,0.012510657380477
North Macedonia,APR2016,April 2016,2016,4,April,Hydro,118.044,1,1869.696,925.02,0.3189645621951714
Cyprus,JUN2015,June 2015,2015,6,June,Fossil fuels,306.663,27,3916.693,,0.8889478306997939
Poland,APR2011,April 2011,2011,4,April,Oil,173.583,9,2225.781,898.819,0.0148742968828526
Lithuania,AUG2014,August 2014,2014,8,August,Hydro,75.0,1,1071.0,713.03,0.1927500289125043
Netherlands,AUG2017,August 2017,2017,8,August,Fossil fuels,5857.531,27,92878.531,57918.663,0.7864656655008373
Mexico,DEC2011,December 2011,2011,12,December,Total combustible fuels,17579.039,7,226638.024,214323.0,0.8072093984882135
Ireland,NOV2011,November 2011,2011,11,November,Other renewables aggregated,21.304,25,324.003,281.186,0.0090416926265896
Republic of Turkiye,AUG2022,August 2022,2022,8,August,Renewables,11111.995802,22,133400.383013,80844.515597,0.3627222510439793
France,OCT2017,October 2017,2017,10,October,Geothermal,9.995,4,119.94,73.28,0.0002520094952235
Croatia,JUN2018,June 2018,2018,6,June,Other combustible non-renewables,0.0,12,0.0,,0.0
Sweden,MAY2020,May 2020,2020,5,May,Wind,1663.848652,2,27512.399601,9010.365018,0.1362228536646132
Chile,NOV2015,November 2015,2015,11,November,Final consumption,5606.281,20,68322.001,59522.8,0.94820948594941
Spain,AUG2020,August 2020,2020,8,August,Fossil fuels,8880.434069,27,84371.032355,72808.002659,0.387923271065743
Slovenia,DEC2012,December 2012,2012,12,December,Natural gas,48.246,10,469.773,433.6,0.0347711902030085
Czech Republic,APR2013,April 2013,2013,4,April,Not specified,5.667,13,68.004,23.332,0.000867003074671
Norway,NOV2018,November 2018,2018,11,November,Geothermal,0.0,4,0.0,0.0,0.0
Portugal,JUL2017,July 2017,2017,7,July,Hydro,388.184,1,7489.937,13191.166,0.0761734172465922
Canada,AUG2021,August 2021,2021,8,August,Low carbon,39701.895962,26,514806.123867,351667.741407,0.7902220998060734
Romania,APR2015,April 2015,2015,4,April,Electricity supplied,4051.655,17,54549.001,,0.7968329682510151
Sweden,NOV2018,November 2018,2018,11,November,Total exports,2495.242861,16,29425.0,28217.422,0.1758420898254765
New Zealand,FEB2013,February 2013,2013,2,February,Coal,169.76,8,2237.201,424.825,0.0536230799093183
Finland,OCT2021,October 2021,2021,10,October,Net electricity production,6112.02162,14,69398.713396,53879.569238,1.0
United States,NOV2018,November 2018,2018,11,November,Electricity supplied,328793.160019,17,4281383.506989,3786277.638,1.00726916669289
